Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
1454,?∞Â?,"154,000","1,048,230",6.77,6.89,6.7,6.7,0,75,
1455,?ÜÁ?,"1,547,503","7,723,374",5.02,5.1,4.93,4.93,-0.06,517,
1456,?°ËèØ,"32,000","204,090",6.6,6.6,6.25,6.25,0.05,21,
1457,"ÂÆúÈÄ?,622","000""","6,325,650",10.1,10.3,10.1,10.1,0,254,
1459,?ØÁôº,"186,339","1,066,033",5.71,5.86,5.58,5.86,-0.12,79,
1460,ÂÆèÈ?,"806,898","4,464,790",5.52,5.68,5.42,5.47,-0.03,417,
1463,Âº∑Á?,"360,000","3,683,700",10.25,10.3,10.2,10.2,-0.05,173,
1464,ÂæóÂ?,"1,117,150","19,957,395",17.6,18.1,17.6,17.7,-0.35,556,
1465,?âÂÖ®,"438,000","6,305,100",14.45,14.65,14.15,14.35,0.1,150,
1466,?öÈ?,"54,002","324,412",5.78,6.19,5.78,6.03,-0.01,40,
1467,?óÁ∑Ø,"648,060","4,393,719",6.64,7.13,6.54,6.69,-0.11,138,
1468,?∂Â?,"26,000","226,750",8.68,9.08,8.03,9.08,0.24,25,
1470,Â§ßÁµ±?∞Ââµ,"14,003","258,361",17.3,19.65,17.25,17.55,-1.45,16,
1471,È¶ñÂà©,"158,736","259,396",1.6,1.66,1.51,1.62,0.06,46,
1472,"‰∏âÊ?Á¥?,32","070""","453,788",14.15,14.15,14.15,14.15,-1.55,25,
1473,?∞Â?,"348,836","8,179,401",24.5,24.5,23.1,23.45,-0.35,236,
1474,ÂºòË?,"436,058","3,673,091",8.33,8.58,8.25,8.25,-0.58,229,
1475,?¨Á?,"10,404","66,520",6.41,6.42,6.41,6.42,-0.1,10,
1476,?íÈ¥ª,"1,989,237","496,829,192",263,263,241.5,241.5,-21.5,"1,837",
1477,?öÈôΩ,"4,170,701","477,658,051",118,120,112,112,-6,"3,250",
1503,Â£´Èõª,"259,456","10,319,123",39.85,40.5,39.15,40,0.15,180,
1504,?±Â?,"8,387,555","208,360,320",24.7,25.05,24.65,25,0.2,"2,676",
1506,Ê≠??,"142,128","1,423,059",10.25,10.25,9.91,10.1,-0.2,58,
1507,Ê∞∏Â§ß,"220,109","12,568,744",57.5,57.8,56.5,57.1,-0.4,194,
1512,?ûÂà©,"112,495","336,262",3,3,2.85,2.85,-0.15,63,
1513,"‰∏≠Ë???,2",196,"831""","48,065,424",21.75,22.1,21.65,21.85,0.15,"1,046"
1514,‰∫ûÂ?,"1,469,525","22,119,630",15.2,15.35,14.8,14.85,-0.25,573,
1515,?õÂ±±,"1,283,394","58,234,180",45.65,46.3,44.5,44.9,0.3,947,
1516,Â∑ùÈ?,"118,475","1,653,237",13.95,14.1,13.85,14,-0.1,39,
1517,?©Â?,"468,091","3,022,470",6.6,6.64,6.12,6.39,-0.25,220,
1519,?ØÂ?,"1,041,994","23,559,411",23.05,23.3,22.05,22.15,-0.5,548,
1521,Â§ßÂ?,"196,062","10,251,386",53.3,53.3,52,52.1,-1.2,133,
1522,"?§Á∂≠Ë•?,773","269""","14,027,795",18.45,18.6,18,18,-0.25,490,
1524,?øÈ?,"667,004","5,747,642",8.5,8.78,8.37,8.59,0.52,315,
1525,Ê±üÁî≥,"79,000","3,190,500",41,41,40,41,0,73,
1526,?•È¶≥,"480,955","7,169,770",14.95,15.2,14.55,14.6,0.1,308,
1527,?ΩÂÖ®,"1,073,294","39,996,178",37.6,38,36.5,36.5,-1.1,802,
1528,?©Âæ∑,"413,641","2,375,536",5.7,5.89,5.67,5.72,0.02,310,
1529,Ê®ÇÂ£´,"189,882","2,162,061",12.65,12.65,10.9,10.9,-1.2,99,
1530,‰∫ûÂ¥¥,"46,240","1,226,012",26.45,26.6,26.2,26.45,-0.25,40,
1531,"È´òÊ???,679","869""","6,634,414",10.2,10.2,9.5,9.65,-0.6,359,
1532,?§Á?,"535,915","12,440,753",23,23.85,22.9,23,-0.45,316,
1533,"ËªäÁ???,161","200""","3,859,700",23.65,25,23.55,23.65,0.05,125,
1535,‰∏≠Â?,"140,365","3,903,687",28.2,28.25,27.6,27.7,-0.8,96,
1536,?åÂ§ß,"1,569,958","138,471,655",88.3,89.7,87.6,88.9,0.8,"1,078",
1537,Âª??,"338,900","43,743,000",129.5,131,128,128,0,325,
1538,"Ê≠?≥∞??,115","015""","335,276",2.91,3,2.91,2.91,-0.32,39,
1539,Â∑®Â∫≠,"116,642","1,478,508",12.9,13,12.3,12.4,-0.3,77,
1540,?¨Á?,"384,449","5,764,934",15.1,15.2,14.6,14.7,-0.45,175,
1541,?©Ê≥∞,"331,089","8,776,838",28.4,28.45,25.75,25.75,-2.85,227,
1558,‰º∏Ë?,"378,422","44,108,083",118,118.5,115.5,115.5,-2.5,298,
1560,‰∏≠Á?,"432,360","22,025,160",51,51.5,50.2,51,0,342,
1568,?â‰?,"168,900","2,203,731",13.15,13.3,12.7,12.95,0,98,
1582,‰ø°Èå¶,"856,706","57,451,337",68,68.4,66.2,66.2,-1.8,789,
1583,Á®ãÊ≥∞,"35,000","1,867,800",53,56.9,52.2,53,0,31,
1587,?âË?,"154,445","1,504,255",10.5,10.5,9.5,9.5,-1.05,99,
1589,Ê∞∏Â?-KY,"395,000","19,959,700",51.7,51.7,50.2,50.2,0,238,
1590,‰∫ûÂæ∑ÂÆ?KY,"2,875,736","1,074,126,715",376,384.5,362,365,-5,"2,595",
1592,?±Á?-KY,"1,424,152","15,856,697",10.95,11.6,10.7,11.6,0,508,
1598,Â≤±Â?,"1,014,989","36,584,150",35.65,36.6,35.25,36.6,0,308,
1603,?ØÈõª,"226,012","6,314,529",27.2,28.5,26.9,27.6,0.3,124,
1604,?≤ÂØ∂,"1,998,167","34,498,407",17.2,17.65,16.95,17.3,0.85,965,
1605,?ØÊñ∞,"20,822,385","238,915,798",11,11.8,11,11.6,0.7,"6,333",
1608,?ØÊ¶Æ,"915,213","6,315,211",6.75,7.06,6.68,6.87,0.12,368,
1609,Â§ß‰?,"3,096,331","24,096,854",7.85,7.89,7.66,7.69,0.03,"1,061",
1611,‰∏≠Èõª,"1,137,250","13,329,054",11.55,11.95,11.45,11.7,0.1,625,
1612,ÂÆèÊ≥∞,"444,205","3,876,407",8.8,8.8,8.65,8.65,-0.15,197,
1614,"‰∏âÊ???,121","002""","3,077,000",25.65,26.2,25.2,25.25,-0.5,92,
1615,Â§ßÂ±±,"194,661","3,435,217",17.45,17.95,17.45,17.5,0.05,100,
1616,?ÑÊ≥∞,"52,083","197,857",3.72,3.9,3.72,3.72,-0.18,38,
1617,Ê¶ÆÊ?,"13,029","128,575",9.89,9.89,9.8,9.88,0.23,15,
1618,?àÊ?,"251,345","1,642,844",6.52,6.64,6.45,6.45,-0.12,115,
1626,?æÁ???KY,"254,913","5,190,933",19.8,20.75,19.8,20.1,-0.5,160,
1701,‰∏≠Â?,"1,839,354","31,903,722",17.5,17.7,17.05,17.05,-0.35,925,
1702,?óÂ?,"458,936","17,829,543",39,39.15,38.65,38.7,-0.3,389,
1707,"?°Ë???,1",270,"221""","264,774,953",210,213,203.5,203.5,-3.5,"1,118"
1708,?±Èπº,"359,624","7,581,829",21.4,21.4,20.9,21,-0.4,261,
1709,?åÁ?,"1,463,165","16,646,226",11.65,11.65,11.1,11.1,-0.25,528,
1710,?±ËÅØ,"3,258,219","49,671,025",15.55,15.75,14.75,14.8,-1,"1,654",
1711,Ê∞∏Â?,"1,853,656","22,657,102",12.7,12.75,11.85,11.9,-0.7,734,
1712,?àËæ≤,"1,219,363","20,599,853",16.9,17,16.85,16.85,0,600,
1713,?ãÂ?,"148,533","2,360,710",15.65,16.2,15.55,16,0.25,162,
1714,?åÊ?,"6,704,838","38,441,890",5.88,5.88,5.62,5.62,-0.15,"1,561",
1717,?∑Ë?,"1,882,452","41,945,948",22.4,22.55,21.8,22.4,0,829,
1718,‰∏≠Á?,"5,937,580","31,199,333",5.23,5.33,5.2,5.2,-0.01,"1,871",
1720,?üÈ?,"431,134","13,016,872",30,30.7,30,30.1,0.05,294,
1721,‰∏âÊ?,"456,836","4,003,679",8.78,8.88,8.72,8.76,-0.02,179,
1722,?∞ËÇ•,"5,810,362","241,938,802",40.95,42.25,40.95,42,0.9,"2,407",
1723,‰∏≠Á¢≥,"1,009,326","96,210,657",97,97.2,94.1,94.5,-2.5,958,
1724,?∞Á?,"74,425","790,865",10.9,10.9,10.3,10.3,-0.45,56,
1725,?ÉÁ?,"42,151","541,035",12.8,13.05,12.7,12.85,-0.05,40,
1726,Ê∞∏Ë?,"94,325","5,955,908",64,64,62,62.8,-1.2,87,
1727,"‰∏≠ËèØ??,163","941""","1,416,710",8.97,8.97,8.21,8.3,-0.6,94,
1730,"?±‰?Â≠?,596","308""","32,325,736",54,55,53,53.1,-0.9,483,
1731,"ÁæéÂêæ??,714","014""","8,548,011",11.9,12.1,11.85,11.9,0.1,341,
1732,ÊØõÂØ∂,"5,184,533","137,317,558",26.75,26.95,25.3,26.95,2.45,"2,508",
1733,‰∫îÈ?,"568,645","11,157,242",20,20,19.15,19.2,-0.7,437,
1734,?èË?,"932,988","14,966,471",16.5,16.6,15.6,15.6,-0.65,644,
1735,"?•Â???,66","000""","1,074,550",16.1,16.4,16,16,-0.25,27,
1736,?¨Â±±,"1,309,284","61,639,464",47.5,48.2,45.7,45.7,-1.45,934,
1737,?∫ÈπΩ,"402,725","11,502,650",28.6,28.75,28.4,28.4,-0.2,275,
1760,ÂØ∂ÈΩ°ÂØåÈå¶,"901,154","52,234,889",61,61,55.1,55.3,-4.1,788,
1762,"‰∏≠Â???,1",910,"910""","57,915,265",31.2,31.3,29.1,29.1,-1.55,"1,298"
1773,?ù‰?,"300,158","25,445,345",86.3,86.3,84,84,-0.8,260,
1776,Â±ïÂ?,"109,000","1,861,450",17,17.25,16.6,17,-0.1,39,
1783,"?åÂ∫∑??,324","000""","4,918,950",15.6,15.6,14.2,14.2,-1.3,175,
1786,ÁßëÂ?,"466,111","19,243,962",41.15,42.2,40.75,42,1,345,
1789,Á•ûÈ?,"6,868,509","177,666,601",27,27,24.9,25.6,-0.25,"3,501",
1795,ÁæéÊ?,"6,731,760","364,521,280",58.9,58.9,53,53,-5.8,"4,646",
1802,?∞Áéª,"4,152,999","30,142,392",7.41,7.5,7.05,7.06,-0.35,"1,774",
1805,ÂØ∂Â?,"18,500","150,160",8.4,8.4,7.6,8.3,-0.12,15,
1806,?†Ë?,"405,258","1,807,030",4.5,4.57,4.35,4.45,-0.05,166,
1808,ÊΩ§È?,"646,560","29,195,799",46.3,46.5,44.55,44.55,-1.75,397,
1809,‰∏≠È?,"810,180","5,757,325",7.17,7.21,7.01,7.01,-0.14,374,
1810,?åÊ?,"442,150","2,656,548",6.08,6.09,5.93,5.96,-0.12,205,
1817,"?±Ê?Ë°?,211","968""","5,646,836",27.3,27.35,26.1,26.1,-1.05,159,
1902,?∞Á?,"1,151,782","23,107,672",20.1,20.15,20.05,20.05,-0.05,383,
1903,Â£´Á?,"84,087","2,180,964",26.45,27,25.45,27,0.55,78,
1904,Ê≠??,"7,072,938","141,175,176",20.45,20.65,19.45,19.45,-0.9,"3,638",
1905,?ØÁ?,"1,820,535","12,244,598",6.75,6.79,6.6,6.65,-0.11,628,
1906,ÂØ∂È?,"459,500","5,091,350",11.3,11.4,10.7,10.75,-0.55,254,
1907,"Ê∞∏Ë?È§?,4",937,"085""","53,572,658",11.05,11.25,10.7,10.8,-0.1,"1,818"
1909,Ê¶ÆÊ?,"15,842,821","195,447,302",12.75,13,11.8,11.85,-0.9,"6,032",
2002,‰∏≠Èãº,"35,354,413","686,222,119",19.5,19.65,19.25,19.3,-0.2,"13,030",
2002A,"‰∏≠Èãº??,101","115""","5,028,624",50,50,49.55,49.6,-0.4,70,
2006,?±Â??ºÈêµ,"2,439,557","52,839,759",21.95,21.95,21.3,21.3,-0.6,"1,290",
2007,?ÅË?,"197,037","687,734",3.49,3.65,3.41,3.5,0.06,97,
2008,"È´òË???,150","032""","1,829,237",12.2,12.25,12.15,12.15,0,57,
2009,"Á¨¨‰???,359","000""","2,151,990",6,6.15,5.9,5.94,-0.04,154,
2010,?•Ê?,"607,409","5,387,877",9,9.05,8.66,8.83,-0.02,303,
2012,?•Èõ®,"87,406","1,490,931",16.7,17.4,16.65,17.3,0.05,63,
2013,"‰∏≠ÈãºÊß?,473","408""","8,831,207",18.85,18.95,18.35,18.35,-0.55,281,
2014,‰∏≠È¥ª,"6,260,739","38,717,961",6.3,6.31,6,6,-0.21,"2,077",
2015,Ë±êË?,"1,244,206","59,284,841",48.55,48.55,47.2,47.5,-1.05,692,
2017,"ÂÆòÁî∞??,1",721,"402""","10,648,215",6,6.28,6,6.07,0.07,299
2020,Áæé‰?,"397,160","5,763,753",14.5,14.65,14.35,14.45,0.05,168,
2022,?ö‰∫®,"840,328","3,062,863",3.63,3.7,3.6,3.62,-0.04,293,
2023,?ÅË?,"3,536,165","28,532,340",8.01,8.18,7.99,8.04,0,"1,224",
2024,ÂøóËÅØ,"339,043","4,198,880",12.15,12.55,12.15,12.3,0,95,
2025,?ÉË?,"258,500","379,123",1.49,1.5,1.35,1.4,-0.06,45,
2027,"Â§ßÊ???,6",36,"008""","164,799,848",27.45,27.7,26.85,26.85,-0.6,"2,665"
2028,Â®ÅËá¥,"303,887","2,789,229",9.15,9.27,8.76,9.23,0.03,73,
2029,?õÈ?,"317,249","5,024,508",15.8,16,15.6,15.6,-0.7,178,
2030,ÂΩ∞Ê?,"399,662","3,775,524",9.45,9.53,9.39,9.48,0.05,241,
2031,"?∞Â???,3",476,"868""","69,542,278",20.9,21.1,18.9,19,-1.9,"1,607"
2032,?∞Èãº,"161,604","1,161,234",7.2,7.34,7.09,7.14,-0.23,59,
2033,‰Ω≥Â§ß,"103,000","780,880",7.62,7.69,7.54,7.54,-0.09,34,
2034,?ÅÂº∑,"968,860","22,126,771",23,23.1,22.6,22.6,-0.35,499,
2038,Êµ∑Â?,"318,000","1,645,870",5.01,5.28,5.01,5.13,-0.06,123,
2049,‰∏äÈ?,"4,195,409","859,169,800",212,212.5,199,199,-8,"3,404",
2059,Â∑ùÊ?,"396,045","120,176,815",304,310,295.5,306,11,344,
2062,Ê©ãÊ§ø,"408,500","6,309,425",15.9,15.95,14.5,15.05,-0.65,206,
2069,?ãÈå©,"354,950","4,288,361",12.35,12.7,11.3,11.5,-1.05,229,
2101,?óÊ∏Ø,"5,297,099","214,550,669",39.6,41.5,39.55,40.65,1.1,"2,114",
2102,Ê≥∞Ë?,"2,702,805","25,371,851",9.27,9.84,9.2,9.78,0.56,810,
2103,?∞Ê©°,"1,919,776","29,911,428",15.85,16.05,15.05,15.05,-0.8,"1,181",
2104,?ãÈ?‰∏≠Ê©°,"3,670,590","78,404,189",21.6,21.7,21.15,21.15,-0.05,"1,981",
2105,Ê≠?ñ∞,"14,962,742","493,823,736",33,33.2,32.85,33,0,"4,318",
2106,Âª∫Â§ß,"1,125,259","30,555,514",27.1,27.35,27.05,27.25,0,570,
2107,?öÁ?,"1,772,916","25,102,641",14.45,14.5,13.9,14.1,-0.35,894,
2108,?óÂ?,"628,664","15,485,859",24.6,25.1,24.35,24.55,0.15,428,
2109,?ØË?,"549,886","6,024,407",11.2,11.2,10.8,10.9,-0.1,160,
2114,"?´Ê∞∏??,202","007""","14,186,590",72.9,74.5,68.8,68.8,-1.7,169,
2115,?≠Ê?-KY,"55,598","1,905,471",34.6,34.6,34.1,34.15,-0.45,45,
2201,Ë£ïÈ?,"3,648,029","59,937,204",16.7,16.8,16.05,16.1,-0.3,"1,621",
2204,‰∏≠ËèØ,"913,252","25,186,722",28.1,28.3,27.25,27.3,-0.7,531,
2206,‰∏âÈôΩÂ∑•Ê•≠,"2,365,056","47,098,547",19.95,20.05,19.7,19.95,-0.05,667,
2207,"?åÊ≥∞Ëª?,1",416,"742""","556,158,508",403.5,415,372.5,372.5,-30,"1,371"
2208,?∞Ëàπ,"1,226,283","21,053,661",17.45,17.45,17,17,0,643,
2227,"Ë£ïÊó•Ëª?,126","201""","26,613,215",214.5,214.5,209,209.5,-5,116,
2228,?çÈ?,"500,060","33,992,740",68.4,69.5,66.5,66.5,-1.7,431,
2231,?∫Â?,"3,313,482","362,288,847",117,118,105.5,105.5,-11.5,"2,466",
2233,ÂÆáÈ?,"346,657","16,579,830",48.15,49,47.25,47.35,-0.55,292,
2236,?æÈ?-KY,"7,000","107,200",15.3,15.8,15.05,15.05,-0.25,7,
2239,?±Âà©-KY,"101,178","5,120,756",51.8,51.8,49.45,49.95,-1.25,87,
2243,ÂÆèÊó≠-KY,"25,000","236,760",9.5,9.56,9.32,9.32,-0.22,15,
2301,"?âÂØ∂Áß?,11",767,"747""","464,627,683",39.8,40.15,39.1,39.1,-0.3,"5,797"
2302,È∫óÊ≠£,"159,004","796,281",5.04,5.05,4.97,4.98,0.06,79,
2303,?ØÈõª,"90,628,139","1,253,166,496",13.8,14,13.75,13.8,0.05,"11,308",
2305,?®Â?,"532,212","2,114,484",3.99,4.07,3.87,3.87,-0.05,213,
2308,"?∞È???,7",516,"116""","873,072,456",116,119,115,115,-0.5,"4,962"
2312,?ëÂØ∂,"4,981,427","49,611,869",10.15,10.3,9.7,9.7,-0.3,"1,434",
2313,"?ØÈÄ?,34",696,"866""","951,035,672",28.25,28.5,26.1,26.1,-1.6,"13,731"
2314,?∞Ê?,"1,638,542","22,955,092",14.2,14.4,13.4,13.4,-0.75,787,
2316,"Ê•†Ê???,3",998,"619""","98,148,835",24.8,25.15,23.7,23.7,-0.35,"2,074"
2317,È¥ªÊµ∑,"76,268,240","5,378,721,353",70.7,71.3,70,70,-0.6,"30,314",
2321,?±Ë?,151,188,0,0,0,0,0,3,
2323,‰∏≠Áí∞,"17,112,877","114,492,475",6.79,6.89,6.48,6.58,-0.08,"4,206",
2324,‰ªÅÂØ∂,"24,219,785","398,878,966",16.4,16.6,16.3,16.5,0,"6,791",
2327,?ãÂ∑®,"27,465,524","7,296,200,644",273,275,250,254.5,-10.5,"19,059",
2328,Âª??,"2,275,221","36,217,770",16,16.1,15.75,15.95,0.15,"1,167",
2329,?ØÊ≥∞,"4,031,031","36,503,660",9,9.23,8.9,8.9,0,"1,607",
2330,"?∞Á???,118",620,"643""","31,555,231,792",269.5,272.5,260,260,-8,"53,985"
2331,Á≤æËã±,"1,216,022","10,157,869",8.42,8.45,8.3,8.3,-0.29,524,
2332,?ãË?,"5,324,846","48,537,444",9.3,9.33,8.95,8.97,-0.2,"2,003",
2337,?∫Â?,"57,693,817","1,469,948,875",26.15,26.3,24.5,24.5,-0.85,"20,112",
2338,?âÁΩ©,"7,186,959","170,992,498",24.3,24.5,22.7,22.7,-0.9,"3,593",
2340,?âÁ?,"2,974,535","47,191,882",16.4,16.45,15.5,15.55,-0.5,"1,444",
2342,?ÇÁüΩ,"8,665,494","196,081,182",24.2,24.2,21.05,21.05,-2.3,"4,651",
2344,"?ØÈÇ¶??,38",512,"699""","448,586,151",11.8,11.9,11.25,11.25,-0.25,"10,318"
2345,?∫ÈÇ¶,"9,022,798","1,526,143,170",171.5,172.5,165,165.5,-3,"5,920",
2347,?ØÂº∑,"9,600,059","336,446,884",34.7,35.45,34.45,34.45,-0.15,"3,956",
2348,Êµ∑Ê?,"497,341","22,766,853",45.5,46.65,45,46.5,1.2,358,
2349,?∏Âæ∑,"4,408,335","17,249,586",3.88,4,3.82,3.82,-0.05,"1,217",
2351,?ÜÂæ∑,"753,100","29,966,930",41,41.5,38.4,38.9,-2.1,528,
2352,"‰Ω≥‰???,7",202,"151""","110,498,715",15.6,15.65,14.95,14.95,-0.35,"3,300"
2353,ÂÆèÁ?,"16,568,603","223,969,477",13.5,13.65,13.4,13.5,0.05,"5,067",
2354,È¥ªÊ?,"5,265,550","264,382,846",50.6,50.9,49.95,50,-1,"3,121",
2355,?¨Èµ¨,"1,177,519","25,715,208",22,22.2,21.5,21.6,-0.35,777,
2356,"?±Ê•≠??,9",58,"383""","180,606,259",19.9,20.2,19.6,19.9,0,"3,362"
2357,?ØÁ¢©,"3,354,908","619,861,421",185,187,183,186,1,"2,380",
2358,Âª∑Èë´,"577,000","5,934,630",10.45,10.75,9.95,10.35,-0.15,246,
2359,?ÄÁæÖÈ?,"694,617","10,749,955",15.55,15.8,15.1,15.1,-0.45,404,
2360,?¥Ë?,"3,469,258","382,723,944",115,115,107,107,-0.5,"2,594",
2362,?çÂ§©,"728,547","19,754,663",27.2,27.4,26.75,27.1,-0.1,441,
2363,?ΩÁµ±,"2,970,192","17,125,057",5.9,5.96,5.54,5.6,-0.2,"1,166",
2364,?´È?,"168,123","263,562",1.58,1.6,1.53,1.55,0.09,236,
2365,?ÜÁ?,"1,164,612","6,648,137",5.51,5.85,5.5,5.8,0.35,365,
2367,?øËèØ,"11,925,889","210,806,134",17.9,18.1,17.1,17.1,-0.3,"4,515",
2368,"?ëÂ???,126",738,"996""","2,501,663,661",20.6,20.9,18.55,19.1,-0.95,"37,172"
2369,?±Á?,"2,451,824","19,825,407",8.4,8.4,7.81,7.81,-0.25,"1,030",
2371,Â§ßÂ?,"9,223,956","170,482,090",18.35,19.05,18,18.15,-0.4,"3,793",
2373,"?áÊó¶Ë°?,183","327""","14,885,087",83.3,83.8,78.2,82.3,-1,154,
2374,‰Ω≥ËÉΩ,"611,373","6,496,509",10.5,10.95,10.2,10.25,-0.7,319,
2375,?±Á?,"2,379,630","68,685,405",29.25,29.6,28.05,28.05,-0.55,"1,549",
2376,"?Ä??,8",594,"020""","357,803,550",43,43.45,40,40,-2.6,"4,943"
2377,ÂæÆÊ?,"4,888,748","370,826,122",77.4,78,73.2,73.2,-4.3,"3,219",
2379,?ûÊò±,"5,435,308","995,527,440",182.5,187,179.5,180,-4.5,"3,937",
2380,?πÂ?,"147,683","495,100",3.4,3.42,3.31,3.41,-0.01,85,
2382,Âª??,"12,345,681","686,311,678",55.4,56.3,55,55,-1.2,"6,079",
2383,"?∞Â???,5",210,"896""","537,576,556",101.5,105.5,100,100,-1,"3,359"
2385,Áæ§Â?,"3,330,042","253,522,791",76,76.9,75.8,76,-0.9,"1,968",
2387,Á≤æÂ?,"3,542,657","88,312,850",25.4,26,24.05,24.2,-1.2,"1,596",
2388,Â®ÅÁ?,"1,000,463","19,681,769",20.2,20.55,18.8,18.8,-0.95,575,
2390,‰∫ëËæ∞,"5,057,100","33,382,309",5.87,6.72,5.87,6.72,0.61,"1,428",
2392,Ê≠?¥¥,"2,891,806","77,291,152",27.1,27.35,26,26,-0.9,"1,525",
2393,?ÑÂ?,"3,566,380","86,940,036",24.7,25.15,23.5,23.5,-1.2,"2,069",
2395,?îËèØ,"2,262,074","553,208,863",235,250,235,241.5,4,"1,806",
2397,"?ãÈÄ?,389","760""","23,991,119",63.4,63.8,59.7,59.7,-4.4,296,
2399,?†Ê≥∞,"8,478,000","62,888,320",6.9,7.6,6.9,7.5,0.06,927,
2401,?åÈôΩ,"1,440,216","12,040,108",8.46,8.56,8.18,8.24,-0.12,755,
2402,ÊØÖÂ?,"1,399,993","14,550,513",10.15,10.55,10.1,10.55,0.4,686,
2404,Êº¢Â?,"2,031,207","299,516,015",150,151,145,145,-2,"1,571",
2405,Êµ©Èë´,"1,885,000","12,579,090",6.46,6.75,6.46,6.75,0.25,703,
2406,?ãÁ¢©,"1,507,524","13,378,370",9,9.3,8.65,8.69,-0.11,716,
2408,"?ó‰?Áß?,21",734,"141""","1,144,418,607",55.5,55.9,50.2,50.2,-3.9,"11,722"
2409,?ãÈ?,"112,842,850","822,144,252",7.36,7.41,7.1,7.1,-0.15,"20,698",
2412,"‰∏≠ËèØ??,17",985,"225""","1,907,565,380",107,107,105,106.5,-0.5,"6,317"
2413,?∞Á?,"306,671","2,774,488",9.3,9.3,8.89,8.89,-0.11,177,
2414,Á≤æÊ?,"567,520","11,535,152",20.45,20.55,20.15,20.15,-0.2,231,
2415,?©Êñ∞,"561,229","6,576,664",12,12.1,11.2,11.2,-1.2,240,
2417,?ìÂ?,"3,156,309","30,139,413",9.94,9.94,9.01,9.09,-0.45,"1,498",
2419,‰ª≤Áê¶,"1,428,832","24,531,644",17.3,17.6,16.3,16.3,-1.3,748,
2420,?∞Â∑®,"626,180","18,028,625",29.15,29.2,28.6,28.6,-0.55,442,
2421,Âª∫Ê?,"2,539,402","84,000,516",33.5,33.7,32.25,32.55,-0.45,"1,718",
2423,?∫Á∑Ø,"484,050","10,074,325",20.8,21.5,20.2,20.2,-0.9,336,
2424,?¥ËèØ,"3,000","63,000",21,21,21,21,X0.00,3,
2425,?øÂ?,"681,236","17,246,123",24.7,25.9,24.65,25.3,0.65,449,
2426,ÈºéÂ?,"1,201,106","11,175,621",9.5,9.5,9,9,-0.36,704,
2427,"‰∏âÂ???,515","207""","4,717,341",9.4,9.4,9.09,9.33,-0.17,128,
2428,?àÂã§,"402,305","27,001,494",68.2,68.2,65.8,65.8,-1.5,340,
2429,"?òÊó∫Áß?,252","000""","4,439,350",17.65,18.05,17,17,-0.5,140,
2430,?¶Âù§,"238,380","3,143,096",13.25,13.35,13.05,13.15,-0.1,139,
2431,?ØÊ?,"497,000","3,088,920",6.15,6.48,6,6.16,0.2,203,
2433,"‰∫íÁ???,257","500""","11,847,425",45.7,46.35,45.4,46.1,0.3,180,
2434,Áµ±Ê?,"122,000","749,960",6.21,6.21,5.7,5.7,-0.51,26,
2436,"?âË©Æ??,3",14,"573""","67,099,410",22.05,22.7,21.65,21.8,-0.1,"1,967"
2438,ÁøîËÄÄ,"137,000","797,650",5.88,5.9,5.4,5.4,-0.48,24,
2439,ÁæéÂ?,"3,825,035","485,511,404",126,128.5,124.5,126.5,0.5,"3,056",
2440,"Â§™Á©∫Ê¢?,17","850""","122,276",6.83,7,6.83,7,0.13,16,
2441,Ë∂ÖË?,"1,205,175","46,301,650",39.2,39.95,37.95,38.5,-0.4,835,
2442,"?∞Á?ÈΩ?,1",353,"076""","8,245,352",6.19,6.38,5.85,5.85,-0.29,639
2443,?ÑÈ?,"163,832","433,053",2.6,2.73,2.6,2.61,0.01,92,
2444,?ÜÂ?,"1,867,768","27,369,157",15.25,15.25,13.65,14.7,-0.35,282,
2448,?∂Èõª,"26,363,728","724,882,981",28.3,28.45,26.5,26.55,-1,"10,342",
2449,‰∫¨Â??ªÂ?,"15,930,452","493,760,351",30.2,31.75,30.2,30.9,0.9,"8,131",
2450,Á•ûËÖ¶,"342,202","9,053,998",27,27,26,27,0,230,
2451,?µË?,"1,442,627","98,179,903",68.1,68.7,67.8,67.8,0,963,
2453,?åÁæ§,"360,999","4,397,788",12.35,12.35,12,12,-0.2,223,
2454,"?ØÁôºÁß?,14",131,"612""","4,441,650,824",315.5,321.5,301.5,301.5,-14,"9,639"
2455,?®Êñ∞,"3,222,612","227,169,115",73.1,73.5,67.5,67.5,-3.5,"2,173",
2456,"Â•áÂ???,7",345,"013""","578,551,240",80.5,81.4,74.5,74.5,-4.4,"5,324"
2457,È£õÂ?,"947,849","5,345,625",5.66,5.8,5.51,5.59,-0.09,403,
2458,Áæ©È?,"6,128,765","461,463,154",75.5,76.4,73.7,73.7,0,"4,366",
2459,?¶Â?,"328,262","11,708,654",36.8,36.8,35.2,35.2,-0.75,262,
2460,"Âª∫ÈÄ?,120","000""","861,470",7.17,7.48,7.08,7.21,-0.01,66,
2461,"?âÁæ§??,2",9,"081""","25,685,774",12.85,13.2,12.45,12.45,-0.45,761
